,BCL6,CBFB,CEBPB,CEBPD,EGR2,ELK1,ETS1,FLI1,FOS,FOSB,HOXA10,HOXA13,IRF8,JUN,KLF10,KLF13,LMO2,MAFB,MYB,MYEF2,NFATC1,NFATC2,NFE2L1,NFYA,NFYC,PPARD,PPARG,PRDM1,RREB1,RUNX1,RXRB,SMAD3,SMAD4,SNAI1,SNAI3,SP3,SPI1,SPIB,STAT1,TCF3,TCFL5,TFPT,TRIM28,UHRF1,VDR
72-13,13.1735457,6.7605296,7.4811401,7.3647778,43.9249638,4.0131518,4.0131518,10.3999164,13.0418582,8.4249645,11.0587062,4.0131518,4.0131518,14.1704236,15.1990432,11.6942717,12.163733,9.3379498,6.0561157,4.0131518,9.220576,9.24932,11.2457935,14.7796275,19.3194681,21.8942461,12.8579996,4.0131518,15.5535761,15.0049041,9.3140469,10.6342581,11.5219692,4.0131518,4.0131518,12.013313,10.4524074,4.0131518,12.8301213,13.0341077,4.0131518,10.822274,14.246037,19.2779228,4.0131518
72-14,20.0110598,11.1346208,10.9164767,9.427017,12.910885,3.9594292,8.6894092,12.082291,14.5757017,3.9594292,8.2851955,3.9594292,3.9594292,13.044677,16.1954117,13.9200577,16.9111396,24.0998794,3.9594292,10.2840476,3.9594292,10.3875979,3.9594292,18.7482858,21.328393,11.1091383,24.7583833,15.0302056,11.7436496,15.1451414,13.761343,8.5058685,9.8617873,10.6415269,3.9594292,13.5405993,39.4116531,3.9594292,12.2000221,14.6785032,8.0631039,11.4594098,17.4755377,12.0443629,3.9594292
72-15,11.1507485,9.5527473,9.7334919,12.8109735,16.4690947,3.9865673,7.2023844,12.3451843,20.2014142,3.9865673,3.9865673,13.0094341,9.6150979,13.3828643,12.568423,16.4978046,20.1585466,8.2257667,7.700349,3.9865673,10.0453231,18.7567199,12.9955698,17.6344891,18.0769229,15.4012583,12.4210404,14.9504398,19.4820485,11.6027139,9.0735313,12.795521,10.0176062,9.2433726,28.0588779,11.219595,19.4330482,3.9865673,14.1201602,10.1007127,5.8252755,8.2895763,9.3483831,3.9865673,7.2929774
72-16,25.0250087,10.6512254,10.0443667,9.5642248,16.387964,3.8886975,6.4587666,13.0682872,19.210127,3.8886975,11.3110268,3.8886975,10.1690499,13.046507,19.0573053,14.0404869,22.7802005,26.8411211,8.2453146,3.8886975,7.8271477,12.3830959,13.2369522,16.0196933,19.7495183,15.8790446,24.6017168,16.4055359,14.872271,17.2110605,12.6448822,9.0984336,10.9796305,18.4484207,14.2958321,14.2551371,25.7511515,3.8886975,13.0645369,9.6074826,8.4995814,10.8207213,13.6254804,3.8886975,7.5331448
72-17,24.1282227,8.0888764,7.7015526,9.6767878,12.9051212,10.1914488,13.0274006,12.3971273,14.9245789,3.8333731,3.8333731,10.4508376,3.8333731,12.1655717,13.467905,13.5530387,18.6223239,37.8451138,4.8526606,3.8333731,3.8333731,12.4597143,12.9202931,17.265762,16.2505827,12.2692236,27.7147805,15.5673301,10.8481056,16.4418765,13.2819265,9.2205439,9.7917515,11.3111947,16.9558999,10.3516944,15.101898,3.8333731,10.2629461,9.3597196,8.3021654,8.3273609,11.741413,3.8333731,8.4244571
72-18,15.0960438,7.9861045,13.2453118,9.5338086,17.6584661,3.8386419,10.2396047,11.2391731,15.2213234,3.8386419,8.4841025,3.8386419,9.5821985,14.0419371,13.4266706,10.5696289,15.9354257,24.2879794,3.8386419,9.2499937,3.8386419,11.1000561,13.4835021,14.9384545,12.9003431,11.6904444,20.181247,16.5739368,14.8469548,10.6402709,12.5128392,9.1139095,9.4743231,3.8386419,3.8386419,9.4265144,16.4257371,3.8386419,9.5099168,10.0334689,9.0599967,9.7042707,11.137974,10.9714807,8.0463675
72-19,26.1297047,9.2742818,14.6412595,9.7254067,24.0374775,3.8541864,11.9082571,13.2405371,17.1689795,3.8541864,3.8541864,3.8541864,3.8541864,16.0176719,18.0366185,15.578802,24.6618947,25.0160763,3.8541864,8.9780773,8.1581555,12.649212,8.5349469,16.8689839,16.9515023,16.3730232,31.2151767,14.6697018,12.7647484,12.6725382,14.6961435,11.4243945,11.5952375,10.2001828,18.125959,11.5921747,16.534479,3.8541864,11.1694711,11.0080966,9.6849349,10.3123017,13.851283,10.6731494,8.8545136
72-20,21.2088183,8.2170597,10.5707719,8.8377011,11.7311544,8.5723186,12.7634468,11.4608402,15.7377469,3.8200441,9.6163952,3.8200441,3.8200441,11.4691555,16.4955094,14.265078,22.0005308,24.9973738,4.9268946,3.8200441,6.9503601,9.5343568,11.5891434,18.783117,15.2913784,13.5642812,22.291628,13.6642098,12.1215091,14.2945319,9.8308463,8.7167485,10.0110759,13.8195172,17.334172,10.3516596,14.7461938,3.8200441,10.8189645,10.0929716,5.9761375,10.7899229,10.797552,3.8200441,7.7349922
72-21,27.0173999,8.4033522,10.5383899,10.5762999,9.2690563,4.1192963,10.714131,11.7580055,17.8010448,10.675632,4.1192963,4.1192963,9.4852718,18.1543206,17.8254472,13.7833869,20.8728013,19.0338723,5.8845345,12.2862733,4.1192963,10.887372,13.1225488,14.8040043,14.6499033,16.3620097,19.7419705,16.3876088,15.6748794,13.1580705,11.2280686,4.1192963,8.6142838,13.1204586,13.4131579,11.273544,29.5706802,6.1705237,21.1605905,12.7964405,8.4313554,7.5335877,12.3551715,12.0880258,9.0571018
72-22,23.8118201,8.7935765,12.6681178,4.876818,21.3887216,7.0758795,8.9266878,10.0417321,8.9860519,3.8506542,9.4602907,8.9142228,10.5824361,13.5753453,17.5872043,13.2147418,14.442693,22.1642602,3.8506542,11.0527837,7.6170915,10.4121914,11.2407496,21.0860516,7.2931919,18.8961841,21.6259551,16.1536337,15.4496164,12.6166707,12.4353751,8.8617713,10.0477926,14.6066982,18.3381764,12.0792935,17.9652828,9.1854422,12.4778722,11.2107356,6.0054169,8.3449892,10.194628,10.5467131,7.6389754
