BCL6
CBFB
CEBPB
CEBPD
EGR2
ELK1
ETS1
FLI1
FOS
FOSB
HOXA10
HOXA13
IRF8
JUN
KLF10
KLF13
LMO2
MAFB
MYB
MYEF2
NFATC1
NFATC2
NFE2L1
NFYA
NFYC
PPARD
PPARG
PRDM1
RREB1
RUNX1
RXRB
SMAD3
SMAD4
SNAI1
SNAI3
SP3
SPI1
SPIB
STAT1
TCF3
TCFL5
TFPT
TRIM28
UHRF1
VDR
