,BCL6,CBFB,CEBPB,CEBPD,EGR2,ELK1,ETS1,FLI1,FOS,FOSB,HOXA10,HOXA13,IRF8,JUN,KLF10,KLF13,LMO2,MAFB,MYB,MYEF2,NFATC1,NFATC2,NFE2L1,NFYA,NFYC,PPARD,PPARG,PRDM1,RREB1,RUNX1,RXRB,SMAD3,SMAD4,SNAI1,SNAI3,SP3,SPI1,SPIB,STAT1,TCF3,TCFL5,TFPT,TRIM28,UHRF1,VDR
RXRB,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
SMAD3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,1,1,-1,1,-1,0,0,0,0
SMAD4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
SNAI1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
SNAI3,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,-1,0,0,1,0,0,1,1,1,0,1,0,0,-1,1,0,0,1,0,1,1,1,0,0,1,0,1
SP3,1,0,0,-1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SPI1,1,0,1,0,0,0,-1,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,-1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0
SPIB,1,0,0,0,1,0,0,-1,0,0,0,1,0,0,0,0,-1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,-1,0,0,1,0,0,0,0,0
STAT1,1,1,0,-1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,-1,1,0,0,0,1,1,1,1,0,0,0,-1,0,1,1,0,0,0,0,0,1,0,0,0,0
TCF3,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,-1,0,1,1,-1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
TCFL5,1,-1,0,0,1,0,0,0,-1,0,0,0,0,-1,0,1,0,1,0,0,0,-1,0,0,1,-1,-1,0,0,0,-1,-1,0,0,0,0,0,0,1,0,0,-1,0,0,-1
TFPT,1,0,0,0,0,0,1,0,0,0,0,0,1,-1,0,0,0,1,-1,0,0,1,-1,-1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
TRIM28,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
UHRF1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VDR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,-1,0,0,0,0
