,Etv5,Slc7a7,Col18a1,Upp1,Nanog,Htra1,Tdgf1,Klf4,Sox2,Bbs2,Cds1,Sgce,1190005I06Rik,Sparc,Sdc4,1700019D03Rik,Acot9,Ifitm2,Klf5,Aldh7a1,Esrrb,Dnmt3a,Tfb1m,Spry4,Nptx2,Fgf4,Akap12,Pigl,Sqle,Basp1,Cidea,Klf2,Tspan17,Cdca7,Dnmt3b,Fgfbp1,Ifitm3,Otx2,Tcf7,Asrgl1,Cth,Tcl1,F2rl1,Cldn4,Rbm14,Fpgs,Klf9,Mycn,Rtel1,Slc2a3,Msrb2,Stat3,Ifitm1,Pim2,Schip1,Tdh,Nodal,Fgf15,Ddit4,Morc1,Socs3,Rest,Phc1,Hexa,Galk1,Rcor2,Car13,Pim1,Bad,Klf6,Nr5a2,Fxyd6,Id3,Stoml1,Slc7a3,Egfl6,Spry2,Zfp64,Sall4,Rab12,Thumpd3,Gbx2,Pou5f1,Nes,Lefty2,Zfp7,Pla2g10,Trp53,Zap70,Gldc,Kcnk1,Stra8,Myc,Cdc42ep4,Nefl,B3gnt7
cell_16,3,1,1,3,2,1,4,0,2,0,1,0,0,14,1,0,1,0,0,1,1,0,0,0,2,1,4,1,1,1,0,2,0,3,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,5,1,3,0,0,1,3,0,0,0,0,2,2,7,0,0,0,1,0,2,0,0,1,0,3,1,1,3,0,0,0,1,0,18,3,0,1,0,1,2,1,0,0,2,2,0,2
cell_17,2,1,1,1,4,1,8,1,2,2,0,0,0,1,0,0,2,1,2,2,2,0,0,2,0,1,1,0,1,0,0,6,0,1,5,0,0,0,1,0,0,1,2,0,2,0,0,0,2,1,0,2,3,0,1,14,0,0,1,1,0,0,3,0,0,1,1,0,2,3,1,0,2,0,0,2,1,1,3,0,1,0,13,0,0,1,1,2,0,0,0,0,2,1,0,0
cell_18,7,0,1,0,5,3,2,4,8,0,1,2,0,4,1,0,3,1,5,1,4,3,0,0,0,2,2,0,3,4,2,5,0,2,6,0,2,3,3,0,2,2,0,0,1,1,3,2,1,4,2,2,0,2,0,6,0,0,1,0,4,2,4,1,1,2,0,1,1,5,7,1,0,0,2,1,1,3,7,1,4,1,10,0,0,1,1,3,0,1,2,1,1,1,0,3
cell_19,2,1,4,3,1,0,5,1,3,2,0,1,0,5,0,2,1,2,6,2,3,2,0,1,1,0,3,1,1,0,1,0,2,1,1,0,0,0,1,1,1,1,1,0,0,0,2,4,1,1,3,3,0,0,1,0,0,1,2,0,3,0,4,0,4,1,0,2,0,1,3,0,5,1,2,1,1,0,0,1,1,1,10,0,2,0,1,1,0,0,1,1,2,1,0,1
cell_20,3,0,0,1,2,2,7,2,3,1,0,1,0,2,0,0,3,1,1,1,0,0,2,0,0,3,4,1,0,0,0,3,0,1,3,0,1,0,0,1,3,0,2,1,0,1,1,1,0,3,0,1,2,1,0,10,1,0,4,0,0,3,1,0,1,0,0,1,1,0,4,1,0,0,3,0,1,0,3,0,0,0,22,2,2,0,1,2,0,0,0,0,2,1,2,2
cell_21,4,1,4,1,5,4,13,3,10,3,2,2,0,9,7,1,0,4,5,2,9,2,1,2,2,1,6,0,5,6,0,11,2,2,6,1,2,6,1,1,0,0,1,3,4,5,1,2,3,8,1,0,7,1,0,15,4,2,1,0,2,1,6,2,2,1,1,1,1,1,0,0,1,2,3,1,1,0,6,3,1,2,31,1,1,2,1,5,1,1,0,0,2,0,0,2
cell_22,3,0,5,0,2,4,0,2,5,0,0,0,0,5,0,1,2,1,0,0,2,2,1,1,0,1,3,0,2,0,0,5,1,1,2,0,1,1,1,0,0,0,1,0,0,0,3,1,1,3,2,0,3,0,1,15,0,0,3,0,2,1,3,0,0,0,0,2,1,3,2,2,1,4,1,0,0,2,8,1,0,0,7,1,0,0,0,0,0,0,1,1,0,0,1,2
cell_23,2,0,2,8,6,0,7,5,5,2,0,0,0,2,2,1,3,1,3,0,1,3,0,2,3,2,0,0,0,1,0,3,2,3,3,0,0,0,0,3,1,0,3,0,1,1,0,3,2,4,0,0,3,2,1,7,1,1,0,2,1,2,2,0,0,1,0,1,1,3,3,0,1,2,2,1,0,1,4,1,4,2,24,1,0,1,0,3,0,1,1,0,0,1,1,0
cell_24,5,1,3,5,3,3,11,2,8,1,0,0,1,6,1,1,2,6,7,0,9,3,0,3,0,3,6,2,1,3,2,2,1,1,16,3,1,1,1,1,3,0,3,1,3,0,3,2,6,8,0,1,5,1,0,14,0,1,0,2,1,4,6,0,6,3,3,1,3,4,1,2,0,1,7,1,6,1,10,0,2,1,34,4,2,3,3,9,0,7,1,0,0,1,3,3
cell_25,6,1,5,3,12,2,6,3,8,1,3,1,0,3,1,1,3,1,0,2,3,5,2,3,1,4,2,0,6,3,0,8,1,0,3,1,1,0,1,1,1,0,0,1,5,0,2,2,0,12,0,0,4,1,1,10,0,1,0,3,1,7,5,1,0,1,1,0,1,0,2,0,2,2,3,0,0,4,4,1,4,0,13,2,1,0,1,2,0,3,1,1,0,3,2,4
cell_26,0,0,2,1,11,4,9,0,3,0,1,0,1,3,0,1,1,1,1,0,2,1,1,0,0,0,1,0,0,1,0,1,0,3,5,0,1,0,0,0,2,0,0,1,0,1,0,2,1,3,1,1,1,0,0,4,0,0,0,0,1,0,0,1,0,1,0,1,0,3,0,0,2,0,1,0,1,0,5,0,0,1,16,4,0,1,0,1,0,0,0,0,1,0,0,0
cell_27,3,1,1,0,7,1,2,2,3,2,0,1,0,13,2,0,1,2,5,1,4,2,0,1,1,1,0,0,2,0,0,1,0,4,5,1,1,0,0,0,1,0,0,0,1,1,1,0,4,6,2,0,1,0,0,7,0,0,0,1,0,1,5,0,1,1,0,0,0,0,2,5,1,0,0,0,1,3,4,2,2,1,15,0,0,2,0,2,0,3,0,0,1,0,0,2
cell_28,6,3,3,4,7,0,9,8,9,0,1,1,0,5,2,2,0,1,0,6,5,6,0,3,1,2,1,0,0,1,1,5,0,1,2,2,1,0,2,0,0,0,2,0,0,0,0,0,2,8,0,2,5,0,1,13,0,1,0,1,8,1,7,3,2,0,0,2,3,2,2,4,2,0,2,1,0,3,9,1,0,1,25,0,0,0,2,2,0,0,1,0,3,2,0,3
cell_29,3,0,1,0,0,0,2,1,5,1,0,0,0,1,0,1,0,2,5,2,1,4,0,1,0,1,0,0,0,2,0,0,0,2,0,0,0,0,2,2,1,1,2,0,0,0,1,0,2,1,0,3,1,2,0,7,0,0,1,0,0,0,4,0,3,0,0,0,1,2,3,1,1,2,1,1,1,0,1,0,0,1,13,3,0,0,0,0,1,2,1,1,1,0,0,2
cell_30,7,2,2,1,2,4,12,3,1,0,0,2,2,7,2,0,0,2,2,1,6,2,0,2,0,4,3,0,1,1,0,5,1,2,3,1,0,2,0,1,1,3,0,0,2,1,0,0,1,3,0,0,0,1,2,16,1,0,1,0,4,3,9,1,2,3,1,1,0,4,2,0,1,1,3,0,3,0,6,0,0,2,35,1,1,0,0,6,0,1,1,1,0,0,1,3
cell_31,5,1,1,0,3,0,6,1,10,0,1,1,0,1,5,0,0,0,5,0,7,0,1,2,0,2,1,0,0,1,0,3,1,1,2,0,1,0,1,0,2,1,0,0,1,1,5,2,1,5,0,0,3,2,2,5,2,1,0,0,0,2,4,1,1,2,1,1,2,2,1,1,2,1,1,0,2,2,0,0,2,2,11,1,1,0,1,1,0,2,1,1,1,0,0,0
cell_32,3,0,1,3,0,0,1,1,0,0,0,0,0,3,0,0,0,3,4,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,6,0,0,2,0,2,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,2,0,1,1,14,1,0,1,0,0,0,0,0,0,1,0,1,2
cell_33,3,0,2,1,4,1,8,9,4,0,0,0,0,5,0,0,0,1,2,0,5,0,2,1,1,2,2,0,3,2,0,3,0,1,3,1,0,1,0,0,1,1,1,0,2,3,1,0,1,3,0,3,4,0,0,23,0,0,1,1,1,1,2,0,1,0,0,1,0,3,0,2,5,1,0,1,0,0,6,0,1,2,11,2,0,3,2,0,1,5,1,1,1,1,0,1
cell_34,7,1,0,0,3,1,2,3,2,0,1,0,0,4,0,0,0,4,2,0,2,2,0,3,0,0,1,0,0,0,1,1,0,0,5,2,2,0,0,0,0,0,0,0,1,1,0,0,0,5,1,1,0,0,1,10,0,0,1,0,0,1,1,1,3,0,0,0,0,1,1,1,1,0,0,1,0,2,1,0,0,0,6,0,1,0,0,1,1,0,0,1,0,0,1,0
cell_35,4,1,1,7,3,1,4,3,6,1,0,0,0,6,5,2,3,1,10,2,4,2,1,3,0,0,1,0,1,1,0,6,0,6,2,1,0,2,1,1,2,5,4,1,3,6,4,2,3,12,0,2,0,2,1,23,6,0,1,1,1,3,4,0,0,4,1,1,1,2,2,1,1,1,3,3,1,1,4,1,2,0,25,1,1,2,2,1,1,1,3,1,1,1,1,4
cell_36,1,3,2,5,1,0,1,0,3,0,0,0,0,2,2,3,0,1,4,0,5,1,2,1,0,1,2,0,0,0,0,2,0,0,2,0,2,0,0,0,0,1,0,0,1,1,1,0,1,4,2,0,0,2,1,17,1,0,2,0,2,1,2,2,0,2,1,1,1,2,0,0,0,0,1,0,1,3,0,1,1,2,12,0,0,0,0,1,0,1,1,0,0,1,0,3
cell_37,2,0,3,1,4,2,4,3,3,0,0,0,3,4,0,1,1,1,3,2,1,2,0,2,1,2,0,1,1,1,0,1,1,0,3,0,2,0,1,2,0,1,2,0,2,3,0,0,1,3,0,2,4,0,1,13,0,0,0,2,1,0,3,1,0,1,0,2,1,0,0,1,1,2,2,1,1,1,1,1,1,1,28,0,0,0,0,4,1,0,2,0,2,1,0,1
cell_38,0,0,1,2,2,0,3,2,2,1,1,1,2,6,1,0,0,2,1,1,4,0,0,1,0,0,1,0,0,0,0,2,0,1,0,1,1,0,0,1,1,3,0,1,1,2,2,1,2,2,0,0,1,0,0,4,1,0,1,2,3,2,4,0,0,1,0,0,1,1,1,0,2,0,4,0,2,1,2,0,0,1,7,1,0,1,1,2,0,0,2,1,1,0,0,1
cell_39,8,1,0,1,6,0,3,1,4,4,4,2,0,7,2,1,2,1,6,1,6,2,1,4,0,2,1,1,0,5,0,1,0,2,3,4,4,2,1,1,3,0,0,1,0,1,2,1,2,3,2,0,0,0,0,7,0,0,0,0,5,2,3,1,0,3,0,0,2,2,0,0,1,2,2,0,3,1,0,0,0,3,20,1,0,2,0,4,0,7,1,1,2,2,1,0
cell_40,2,1,1,0,4,1,7,0,3,2,0,1,1,4,3,1,0,1,3,1,1,0,1,0,1,3,3,1,1,1,1,0,0,1,5,0,2,1,0,0,0,3,1,1,2,2,1,0,0,3,0,0,3,0,0,3,0,1,1,1,1,3,1,0,1,1,1,0,1,1,0,0,3,1,1,1,1,1,3,0,0,0,21,1,1,0,1,0,2,1,0,1,0,0,0,0
cell_41,0,0,2,2,2,3,4,1,7,0,0,0,1,2,1,0,1,0,2,2,5,1,0,2,0,2,5,1,0,1,0,7,0,2,5,0,1,1,1,0,0,0,1,0,0,0,1,9,1,5,1,1,1,1,0,12,2,0,0,1,2,1,4,0,0,4,1,0,1,2,1,3,3,0,2,0,0,0,3,0,1,1,11,2,0,2,0,1,0,2,0,2,0,1,0,0
