,Etv5,Ddit4,Nefl,Nanog,Ifitm1,Sox2,Sall4,Tcf7,Slc7a3,Otx2,Cldn4,Pim1,Pou5f1,Col18a1,Sgce,Tdgf1,Dnmt3b,Sparc,Tfb1m,Id3,Stat3,Nodal,Esrrb,Pim2,1190005I06Rik,Tdh,1700019D03Rik,Schip1,Galk1,Mycn,Fxyd6,Gbx2,Tspan17,Spry4,Ifitm3,Slc7a7,Upp1,Cds1,Nptx2,Sdc4,Fgfbp1,Klf6,Slc2a3,Nr5a2
cell_1682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4916418,0.0,0.0,1.9971414,2.620015,0.0,0.0,2.620015,0.0,0.0,0.0,3.4916418,0.0,0.0,2.620015,0.0,0.0,0.0,0.0,0.0,0.0,1.9971414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell_1683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0907884,0.0,1.5141698,0.0,0.0,0.0,0.0,0.0,0.0,2.0907884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4541843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0907884,0.0,1.5141698,1.5141698,0.0
cell_1684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.211269,0.0,1.6220865,1.6220865,2.211269,0.0,1.6220865,0.0,0.0,0.0,1.6220865,0.0,0.0,0.0,0.0,2.211269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2340353,0.0
cell_1685,0.0,0.0,0.0,0.0,0.0,0.0,1.4162127,0.0,0.0,0.0,2.6016467,1.4162127,2.8098488,0.0,0.0,0.0,1.9800304,2.982084,0.0,2.8098488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4162127,0.0,0.0,0.0,1.4162127,0.0,0.0,0.0,0.0,1.4162127,1.4162127,1.4162127,0.0,0.0
cell_1686,0.0,1.6005745,1.6005745,0.0,1.6005745,0.0,0.0,0.0,0.0,0.0,1.6005745,1.6005745,3.0339618,1.6005745,0.0,0.0,0.0,2.8227775,0.0,0.0,0.0,1.6005745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1873715,1.6005745,0.0,0.0,0.0,2.1873715,0.0,1.6005745,1.6005745,0.0
cell_1687,2.1402493,0.0,0.0,0.0,0.0,0.0,1.5583085,0.0,0.0,0.0,0.0,1.5583085,2.5057166,1.5583085,0.0,2.9833505,2.1402493,1.5583085,2.1402493,2.1402493,0.0,0.0,0.0,2.5057166,0.0,1.5583085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5583085,1.5583085,0.0,0.0,0.0,0.0,1.5583085,0.0,2.1402493,1.5583085,0.0
cell_1688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5897974,1.5897974,2.1753778,1.5897974,0.0,0.0,0.0,3.5869796,0.0,0.0,0.0,2.1753778,0.0,0.0,0.0,0.0,0.0,1.5897974,0.0,0.0,2.1753778,0.0,0.0,0.0,0.0,1.5897974,0.0,0.0,0.0,1.5897974,0.0,2.8100665,0.0,0.0
cell_1689,0.0,0.0,0.0,1.5883245,2.1737375,0.0,1.5883245,0.0,1.5883245,0.0,0.0,1.5883245,1.5883245,2.5405478,0.0,0.0,1.5883245,3.0193365,0.0,2.1737375,0.0,0.0,1.5883245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1737375,0.0,0.0,0.0,0.0,0.0,0.0,3.1934857,0.0
cell_1690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8799163,0.0,0.0,1.3287919,1.3287919,0.0,1.3287919,2.7001789,0.0,0.0,0.0,0.0,0.0,0.0,1.3287919,0.0,0.0,0.0,0.0,1.3287919,1.3287919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2331746,1.8799163,0.0
cell_1691,1.3808023,0.0,1.939631,0.0,0.0,1.3808023,1.3808023,0.0,0.0,0.0,0.0,0.0,2.765719,2.295991,0.0,2.5581856,0.0,2.5581856,0.0,0.0,0.0,1.3808023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3808023,0.0,0.0,0.0,0.0,1.3808023,0.0,0.0,0.0,0.0,0.0,0.0,3.3251376,0.0
