,Etv5,Slc7a7,Col18a1,Upp1,Nanog,Htra1,Tdgf1,Klf4,Sox2,Bbs2,Cds1,Sgce,1190005I06Rik,Sparc,Sdc4,1700019D03Rik,Acot9,Ifitm2,Klf5,Aldh7a1,Esrrb,Dnmt3a,Tfb1m,Spry4,Nptx2,Fgf4,Akap12,Pigl,Sqle,Basp1,Cidea,Klf2,Tspan17,Cdca7,Dnmt3b,Fgfbp1,Ifitm3,Otx2,Tcf7,Asrgl1,Cth,Tcl1,F2rl1,Cldn4,Rbm14,Fpgs,Klf9,Mycn,Rtel1,Slc2a3,Msrb2,Stat3,Ifitm1,Pim2,Schip1,Tdh,Nodal,Fgf15,Ddit4,Morc1,Socs3,Rest,Phc1,Hexa,Galk1,Rcor2,Car13,Pim1,Bad,Klf6,Nr5a2,Fxyd6,Id3,Stoml1,Slc7a3,Egfl6,Spry2,Zfp64,Sall4,Rab12,Thumpd3,Gbx2,Pou5f1,Nes,Lefty2,Zfp7,Pla2g10,Trp53,Zap70,Gldc,Kcnk1,Stra8,Myc,Cdc42ep4,Nefl,B3gnt7
cell_2319,0.0,0.9742707,1.7830051,0.0,0.0,0.0,0.0,0.9742707,0.6013702,0.0,0.0,0.0,0.0,2.3883412,0.6013702,0.6013702,0.0,0.9742707,1.2452639,0.6013702,0.0,0.0,0.9742707,0.9742707,0.0,0.0,1.633757,0.0,0.0,1.2452639,0.6013702,0.6013702,0.9742707,0.0,1.4582589,0.6013702,0.0,0.0,0.0,0.0,0.6013702,0.0,0.6013702,0.6013702,0.0,0.0,1.2452639,0.0,1.2452639,1.9128437,0.9742707,0.0,0.9742707,0.0,0.0,0.0,0.0,0.6013702,0.0,0.0,0.0,0.6013702,0.9742707,0.0,0.9742707,0.6013702,0.0,0.6013702,0.0,1.2452639,0.6013702,1.633757,0.6013702,0.6013702,0.0,0.0,0.6013702,0.6013702,0.0,0.9742707,0.0,0.0,0.0,1.2452639,0.6013702,0.0,0.0,0.6013702,0.6013702,0.6013702,0.0,0.0,1.4582589,0.9742707,0.0,0.0
cell_2320,0.0,0.613697,0.7559643,0.24874581,0.0,0.24874581,0.24874581,0.24874581,0.0,0.613697,0.24874581,0.24874581,0.24874581,2.154692,0.24874581,0.24874581,0.613697,0.0,0.4477785,0.613697,0.4477785,0.613697,0.4477785,0.24874581,0.613697,0.88048947,1.4790996,0.24874581,0.0,0.9912112,0.24874581,0.4477785,0.24874581,0.24874581,0.9912112,0.613697,0.24874581,0.24874581,0.7559643,0.613697,0.4477785,0.0,0.613697,0.9912112,0.24874581,0.0,0.7559643,0.613697,0.4477785,0.7559643,0.24874581,0.4477785,0.0,0.4477785,0.0,0.0,0.24874581,0.0,0.24874581,0.613697,0.7559643,0.88048947,0.88048947,0.0,0.0,0.0,0.0,0.24874581,0.24874581,0.88048947,0.4477785,1.7081344,1.7081344,0.0,0.24874581,0.0,0.24874581,0.9912112,0.24874581,0.24874581,0.88048947,0.24874581,0.88048947,1.0908866,0.0,0.24874581,0.0,0.24874581,0.0,0.0,0.613697,0.613697,0.0,0.24874581,0.24874581,0.0
cell_2321,0.43445942,0.7363294,1.3138958,0.0,0.7363294,0.0,0.43445942,0.43445942,1.1557839,0.43445942,0.0,0.7363294,0.43445942,2.6812408,0.43445942,0.0,0.7363294,0.0,0.0,0.43445942,0.43445942,0.43445942,0.0,0.43445942,0.0,0.0,0.96789,0.43445942,0.7363294,0.96789,0.43445942,0.0,0.43445942,0.0,1.1557839,0.43445942,0.0,0.0,0.43445942,0.43445942,0.7363294,0.43445942,0.0,1.1557839,0.43445942,0.43445942,0.0,0.0,0.0,2.0886075,0.0,0.7363294,0.43445942,0.43445942,0.43445942,0.0,0.7363294,0.0,0.43445942,0.43445942,0.43445942,0.43445942,0.7363294,0.0,0.43445942,0.43445942,0.0,0.43445942,0.0,1.6776618,0.0,1.3138958,0.96789,0.0,0.96789,0.43445942,0.43445942,0.43445942,0.0,0.43445942,0.43445942,0.0,0.0,1.1557839,0.0,0.43445942,0.0,0.0,0.0,0.0,0.96789,0.0,0.0,0.96789,0.0,0.0
cell_2322,0.7393026,1.1596913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4547524,0.0,3.0816813,0.7393026,0.0,0.7393026,0.0,0.7393026,0.7393026,0.0,0.7393026,0.0,0.0,0.0,0.7393026,0.0,0.0,0.7393026,0.7393026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7393026,0.0,0.0,0.0,1.1596913,0.7393026,0.0,1.4547524,0.0,0.0,1.1596913,0.0,0.0,0.0,0.0,0.7393026,0.0,0.0,0.7393026,0.0,0.0,0.0,0.7393026,0.0,0.0,0.0,0.0,0.0,1.1596913,0.0,0.0,0.0,2.0237763,0.7393026,0.0,0.0,0.0,0.0,0.0,0.7393026,0.7393026,0.7393026,0.0,0.0,0.0,0.0,0.0,0.0,1.1596913,0.0,0.0,1.1596913,0.0,1.1596913,1.1596913,0.0,0.0
cell_2323,0.0,0.66047764,0.66047764,0.0,0.66047764,1.0548112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.646177,1.0548112,0.0,0.66047764,0.0,1.0548112,0.0,0.66047764,0.66047764,0.0,0.66047764,0.66047764,1.0548112,0.66047764,0.66047764,0.0,0.66047764,0.66047764,0.66047764,0.0,0.0,0.0,0.0,1.0548112,0.0,0.0,0.0,0.0,0.0,0.0,1.0548112,0.0,0.66047764,0.66047764,0.0,0.66047764,2.981346,0.0,0.0,0.0,0.66047764,0.0,0.0,0.66047764,0.0,1.3368808,0.0,0.0,0.66047764,0.0,0.66047764,1.0548112,0.0,0.0,0.66047764,1.0548112,0.66047764,0.0,1.7367017,1.3368808,0.0,0.0,0.0,0.66047764,0.66047764,0.0,0.0,0.0,0.0,1.3368808,1.3368808,0.66047764,0.0,0.0,0.66047764,0.0,0.0,1.3368808,0.0,0.0,0.0,0.0,0.0
cell_2324,1.0219551,0.0,0.0,0.0,0.0,0.0,0.0,1.0219551,0.0,0.0,0.0,0.0,0.0,1.0219551,1.0219551,0.0,0.0,0.0,0.0,1.0219551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0219551,0.0,0.0,1.0219551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0219551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.516718,0.0,0.0,0.0,1.0219551,0.0,0.0,0.0,0.0,0.0,1.0219551,0.0,1.516718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0219551,0.0,1.516718,0.0,0.0,0.0,0.0,0.0,0.0,1.0219551,1.0219551,0.0,0.0,0.0,1.0219551,0.0,0.0,1.0219551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cell_2325,0.6171169,0.0,0.3554259,0.6171169,0.0,0.0,0.3554259,0.6171169,0.0,0.3554259,0.6171169,0.8243353,0.0,2.5611012,0.6171169,0.3554259,0.8243353,0.6171169,0.3554259,0.3554259,0.9958974,0.3554259,0.0,0.8243353,0.0,0.8243353,0.8243353,0.3554259,0.6171169,1.8791972,0.0,0.0,0.0,0.0,0.0,0.3554259,0.0,0.0,0.3554259,0.3554259,0.6171169,0.3554259,0.8243353,0.3554259,0.3554259,0.3554259,0.0,0.3554259,0.0,1.1422913,0.3554259,0.6171169,0.0,0.6171169,0.8243353,0.0,0.6171169,0.3554259,0.0,0.9958974,0.0,0.3554259,0.3554259,0.6171169,0.0,0.0,0.0,0.6171169,0.0,1.4848505,0.3554259,0.9958974,0.0,0.0,0.6171169,0.3554259,0.3554259,0.3554259,0.8243353,0.0,0.3554259,0.6171169,0.3554259,0.8243353,0.0,0.3554259,0.3554259,0.3554259,0.0,0.8243353,0.3554259,0.3554259,1.1422913,0.3554259,0.3554259,0.3554259
cell_2326,0.84182113,0.0,1.8377452,0.84182113,0.0,0.0,0.0,0.84182113,0.0,0.0,0.0,0.0,0.0,0.0,0.84182113,0.0,0.84182113,0.0,0.0,0.0,0.0,1.2923074,0.0,0.84182113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84182113,0.0,0.0,0.0,0.0,0.84182113,1.2923074,0.0,0.84182113,0.0,0.0,0.0,0.0,0.84182113,0.0,0.0,0.0,0.0,0.0,0.0,0.84182113,0.0,0.84182113,0.0,0.0,1.8377452,0.84182113,0.0,0.0,0.0,0.84182113,0.0,0.0,1.601762,0.0,0.84182113,0.0,0.0,1.2923074,0.0,0.0,0.84182113,2.188692,0.0,0.84182113,0.0,0.0,0.0,0.0,0.0,0.0
cell_2327,0.0,0.0,2.089407,0.0,1.0188583,0.0,0.0,1.0188583,0.0,1.0188583,0.0,0.0,1.0188583,1.8421502,1.5129404,0.0,1.0188583,1.0188583,1.0188583,1.0188583,1.0188583,0.0,0.0,0.0,1.0188583,0.0,1.0188583,0.0,0.0,2.2874868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.089407,0.0,0.0,0.0,1.5129404,0.0,0.0,0.0,0.0,1.0188583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0188583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.089407,0.0,0.0,1.5129404,0.0,1.0188583,0.0,0.0,1.0188583,0.0,1.0188583,0.0,0.0,1.0188583,1.5129404,0.0,0.0,0.0,0.0,1.5129404,0.0,0.0,0.0,0.0,0.0,1.0188583,1.8421502,0.0
cell_2328,0.94838417,0.0,0.0,0.0,0.94838417,0.0,0.94838417,0.0,0.0,0.0,0.94838417,0.0,0.0,1.7482612,0.0,0.0,0.0,0.94838417,0.0,0.0,1.4262527,0.94838417,1.4262527,0.94838417,0.0,0.0,0.94838417,0.0,0.0,1.4262527,0.0,0.0,0.0,0.94838417,0.94838417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7482612,0.0,1.4262527,0.0,1.4262527,0.0,2.7235177,0.94838417,0.94838417,0.0,0.0,0.0,0.0,0.94838417,0.0,0.0,0.94838417,0.0,0.0,1.4262527,0.0,0.0,0.0,0.0,0.0,0.0,1.7482612,0.94838417,2.1869133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94838417,0.94838417,0.0,0.0,0.0,0.0,0.94838417,0.0,1.7482612,1.4262527,0.0,0.0,1.4262527,0.0,0.0
